transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
d7910c71-3332-4ad9-b5d1-a4012c9d634e,1c050bae-4af9-438b-9bd8-0a065e00cd92,2022-11-30 09:47:34,9442.87,GBP,deposit,online,Walmart,Electronics,United Kingdom,Birmingham,False
ef978251-9fe4-4601-a7e7-d4f6144f922f,6a41993c-02a3-46f9-b444-5948661fd5d3,2023-09-19 20:05:51,7610.85,GBP,withdrawal,in-branch,Walmart,Miscellaneous,United Kingdom,Liverpool,False
437cd6a2-ca0f-46eb-b8ff-10296df2c10e,a8c00c26-e24d-4009-98d5-fe0d40b6e099,2023-08-06 03:47:28,5497.06,USD,withdrawal,ATM,Amazon,Electronics,United States,Los Angeles,False
f465fdf3-4663-4216-962f-e26d793e24de,68c131e4-4c7e-4b84-9c5b-d91db4e8b2aa,2022-10-22 21:27:53,3786.09,USD,transfer,mobile,Target,Retail,United States,Phoenix,False
1c0c940e-2d06-4d6e-914a-42784bddceac,4fb4567b-cb75-4e96-8595-7dc28b3725fa,2024-05-16 20:39:18,8280.58,JPY,withdrawal,mobile,Target,Miscellaneous,Japan,Fukuoka,False
85ac3030-fea6-4355-9343-b4a6ee7f8951,31fd929f-1e1b-4d70-b98e-658eaac49fba,2023-07-10 21:00:40,2917.09,USD,purchase,in-branch,Best Buy,Electronics,United States,Houston,False
3a4a8fab-b3c8-4837-bb8b-126b1905ae15,60821a9c-77d2-4e6d-9edc-11747a7af475,2023-01-01 23:24:17,1194.56,GBP,withdrawal,online,Best Buy,Clothing,United Kingdom,Liverpool,False
b011484f-0115-4274-b811-aa7df8399a32,facd5f05-9473-4f62-b0eb-f49b13d2dead,2024-07-24 12:46:39,8621.69,EUR,deposit,in-branch,Amazon,Grocery,Germany,Munich,False
d16fcead-be08-4789-a8ce-4419dfe32daf,a5a89695-cd7b-4e4d-81a1-111f991c835b,2024-05-09 09:03:18,3339.58,EUR,withdrawal,mobile,Costco,Electronics,Germany,Berlin,False
25cc0b28-5264-43fb-9b19-d257e0563e1c,b097c7c4-2ce5-4dbb-9568-e80a79426143,2022-10-05 17:41:27,4401.56,INR,withdrawal,mobile,Costco,Grocery,India,Chennai,False
4d62e670-7453-4e92-88a1-d3107806fbe3,28d00a0b-4f8f-42cb-8ba6-25f1381110ff,2022-08-31 22:07:31,1597.22,INR,transfer,in-branch,Amazon,Grocery,India,Hyderabad,False
b75d86af-45a6-4e39-a1d6-61a4cba2dd6d,3adb3243-7629-479a-afdb-fe6689f285cd,2024-05-01 10:07:59,5610.76,GBP,transfer,in-branch,Costco,Clothing,United Kingdom,Birmingham,False
dd543d59-f254-436b-a343-03ef0d9291cb,534c0fcb-1b50-48dc-bc4c-d694bf7d818d,2023-12-30 01:34:04,9699.71,INR,transfer,ATM,Best Buy,Grocery,India,Bangalore,False
d701221e-f02b-4a14-9886-2a3bdb153e70,06605543-88ff-49c7-b8ab-b6fa359ae951,2024-02-29 00:19:41,2858.48,USD,withdrawal,in-branch,Walmart,Grocery,United States,Houston,False
00cf72ce-b558-4bdb-9db5-db30577d16ca,6408c6db-bebc-42bc-8b07-d7bb0aeb92a5,2023-04-09 18:25:14,6086.9,GBP,deposit,mobile,Costco,Clothing,United Kingdom,Manchester,False
ac9a0cd3-34b0-497e-aa44-30526619c798,4e365409-0216-474e-87d2-4f70baefb8f6,2024-05-31 20:20:25,1543.51,INR,purchase,in-branch,Best Buy,Clothing,India,Chennai,False
96000db1-8ea5-44d4-89fa-840feab913de,9d6def54-e9d8-4746-8e5c-f777d995324b,2022-09-05 12:12:02,1578.21,JPY,withdrawal,in-branch,Best Buy,Retail,Japan,Tokyo,False
dce690ab-44c9-45d1-a788-41adf0f478fb,9220f538-6f2a-4232-9675-d7cf43e48d1b,2024-08-11 08:04:15,3334.29,USD,purchase,in-branch,Costco,Retail,United States,Houston,False
312f0ba7-a006-4e8a-9fec-be167afa5b57,ac2c4434-2a0e-490a-9cdf-a2112490ffe1,2022-12-07 23:22:44,2383.36,USD,deposit,online,Walmart,Clothing,United States,Chicago,False
89523de7-a402-412e-92a1-570ce41e83a5,5e1182c7-536c-4bd5-ba0d-85f586537b3b,2024-06-06 06:29:26,2460.48,EUR,purchase,in-branch,Costco,Electronics,Germany,Cologne,False
7dd9229a-67dc-4ec1-8dde-e8dfc8d47d60,7c262bc5-d386-485a-95c6-ca40994ea2d3,2023-11-16 17:30:55,6527.1,EUR,withdrawal,mobile,Walmart,Electronics,Germany,Munich,True
9fbfa271-2b21-467a-a65c-a336e498b607,a2e3feaa-42fe-41d5-ac2b-d55a424c30b9,2024-05-03 19:55:32,4381.19,JPY,deposit,mobile,Best Buy,Grocery,Japan,Tokyo,False
13071083-17fa-489b-ac29-d86f260aae5e,0dd3391b-f9f1-4876-9ecf-4420db3b73eb,2022-12-21 10:50:11,8447.86,USD,purchase,mobile,Costco,Electronics,United States,Houston,False
0cdf7b35-cf18-4db2-b597-d25ed01715a0,2bb30145-e743-4220-bd1a-fa4b41a7bcd0,2022-10-18 07:26:41,500.7,USD,withdrawal,in-branch,Amazon,Grocery,United States,Los Angeles,False
c265fc3b-afa8-4783-bacd-ac6c100d4827,ff7fbf62-7d73-4362-a22b-6441506e02a3,2023-07-18 23:31:10,5781.35,GBP,transfer,in-branch,Amazon,Grocery,United Kingdom,Birmingham,False
dfec5e4f-3069-4f35-b6c2-10ed42b103bb,4acc5901-ed63-492e-9dd9-210c8c173a03,2024-05-27 03:02:36,7824.78,JPY,purchase,online,Amazon,Miscellaneous,Japan,Tokyo,False
62734f21-06b8-4fe9-aa0a-4afbd2553dfe,515db09c-08d8-44f3-b739-8ee0274cd606,2024-06-25 20:10:53,7070.87,JPY,transfer,ATM,Walmart,Retail,Japan,Nagoya,False
092aad87-0374-490b-a8bd-4630d9ee1d91,314ccb0e-c250-449f-b94d-f547e46e55aa,2023-02-10 19:48:48,8536.03,GBP,withdrawal,in-branch,Costco,Miscellaneous,United Kingdom,Manchester,False
d2632fa9-a9b8-4804-aeef-1131fd0b980c,8178b7a9-7c45-4000-908c-cbe4ca1492f7,2023-09-03 03:49:48,9399.45,GBP,withdrawal,ATM,Walmart,Clothing,United Kingdom,Birmingham,False
7ced6e06-7aca-4874-ae91-23791c7df1cf,fc3b2754-1ae9-4522-b5f9-e1adb76d299b,2024-01-24 10:49:11,2466.5,USD,deposit,mobile,Best Buy,Grocery,United States,Phoenix,False
ff82fb67-18cc-4fdc-b76c-8b84db0857ba,84dde35b-97fc-4d17-8755-8125cd15e134,2023-08-13 19:35:47,3515.07,USD,purchase,ATM,Walmart,Miscellaneous,United States,Phoenix,True
c8be370b-c911-4773-ad15-cc8f7724e673,861c61b6-0c60-4c2e-93ab-dc28aea231b5,2024-03-10 00:57:02,6108.77,USD,withdrawal,in-branch,Amazon,Grocery,United States,Phoenix,False
6c84dbc0-8aa2-42a9-b956-2cb276e44003,d622e7ea-b7b0-4138-97ed-b4fccaf4c5a1,2023-08-27 06:30:28,7580.68,JPY,purchase,ATM,Amazon,Miscellaneous,Japan,Fukuoka,False
1b03a45a-9285-4892-acc7-03eb11f6bb1d,d81dae78-0581-4bc0-b6bf-7c1d78d96eba,2023-02-21 14:28:33,9147.39,GBP,withdrawal,in-branch,Amazon,Grocery,United Kingdom,Manchester,False
73c15c42-9396-4127-bf33-1ef9711afcd6,e2a48f35-0623-462f-bfaa-3c40961f9060,2023-02-01 07:08:30,6126.25,JPY,purchase,mobile,Costco,Clothing,Japan,Sapporo,False
da930340-8426-4747-903c-ece74805bfed,a9814266-0f90-4f87-b0b2-2a8aeec498cc,2023-11-12 17:24:00,7263.86,EUR,transfer,ATM,Costco,Clothing,Germany,Munich,False
21e09eee-9f3e-4dca-ae41-f2cf88d3e64c,27dfff83-16f7-4d54-9bbe-608b94cd5bd6,2023-01-09 11:17:58,7322.48,EUR,purchase,mobile,Target,Miscellaneous,Germany,Hamburg,False
6cdf6512-d019-41ec-900d-0ecf45438474,cf3f9e28-5d92-4aad-9167-553e07dfb770,2023-02-16 17:45:32,4811.86,GBP,deposit,ATM,Walmart,Clothing,United Kingdom,Glasgow,False
645ecc50-f052-42b9-9ba7-76c56448505e,84dde35b-97fc-4d17-8755-8125cd15e134,2023-02-25 15:55:01,9159.76,USD,withdrawal,mobile,Best Buy,Retail,United States,Chicago,True
8a53b441-6a18-48de-afba-13c4e3a27b1c,4126e395-bb95-4a0f-9d28-794f33082833,2023-08-07 20:53:43,7390.5,JPY,purchase,mobile,Amazon,Retail,Japan,Sapporo,False
13205023-e91b-4c65-9ce4-84e361fd541d,1c050bae-4af9-438b-9bd8-0a065e00cd92,2023-07-03 01:41:27,4610.77,GBP,withdrawal,mobile,Best Buy,Retail,United Kingdom,Liverpool,False
05e619a5-4eee-4e03-b82a-0812cc1a10b9,51877c5d-dcaa-417f-a6d0-0c36e37caa8e,2022-11-01 14:43:15,5552.15,INR,transfer,online,Amazon,Retail,India,Chennai,False
781dd2df-5430-489a-ab9c-c6cd28619c3a,1ba99f29-822c-4459-bb2b-fd4d8c20e31e,2024-05-27 06:15:37,4866.62,GBP,transfer,mobile,Best Buy,Retail,United Kingdom,Manchester,False
7fbe685a-bfe8-45a1-9216-1a0a1d3e2a39,eb123472-80dc-4242-af81-8e46f5650ea4,2024-07-19 00:16:13,6150.68,GBP,withdrawal,in-branch,Amazon,Clothing,United Kingdom,Birmingham,False
0b60f648-a2b1-4cb4-b429-d8685cf7c824,21b49fab-f7cf-4678-a308-f899c266a246,2023-07-30 00:02:19,5784.39,JPY,purchase,mobile,Walmart,Clothing,Japan,Sapporo,False
111814e3-a178-45b0-b515-8fa1b964952a,25312ca0-a62c-4fe2-b06f-3bb019eb7857,2023-10-04 02:22:34,6924.91,INR,withdrawal,online,Target,Retail,India,Delhi,False
0412b240-96c9-4906-85cb-57400b0bc450,93a962a0-76bc-46d1-ab24-0417de4270d3,2024-04-03 22:55:13,5834.93,GBP,deposit,ATM,Walmart,Grocery,United Kingdom,Birmingham,False
2a74a5df-013c-4694-b837-28ed27f620e2,e3cd41d6-24bb-438c-9046-a0efc692f421,2022-08-19 07:52:45,9856.36,GBP,withdrawal,mobile,Amazon,Retail,United Kingdom,Birmingham,False
91ef5f90-fc06-44d6-8ac0-5c60eb60a630,0c70936e-a44d-48fe-ac75-9d4ac7738006,2022-11-28 09:32:04,6617.4,EUR,transfer,mobile,Best Buy,Clothing,Germany,Hamburg,False
d27477b8-fbb7-4c67-8d35-a295fa8f00de,c1a801fb-fd21-4893-9b6f-61818f69f6e6,2024-05-03 16:38:09,303.55,GBP,transfer,online,Walmart,Retail,United Kingdom,Birmingham,False
8f0c1076-4536-4c3b-950c-c461cd0e8e20,9cee0af8-c309-4119-8354-9a8f2aee7450,2023-06-11 20:15:47,57.92,GBP,deposit,mobile,Best Buy,Grocery,United Kingdom,Glasgow,False
0493a10b-70a3-4705-bb4e-f9673fa5e9c9,543aefcc-d193-4862-ac3e-8adab693d4ad,2024-01-27 21:39:28,4908.38,INR,withdrawal,mobile,Target,Electronics,India,Delhi,False
d77bade5-5d06-46b3-b38a-f6acdf8f6a7c,9def69c6-5604-4fed-afed-383accfb5491,2023-11-18 16:16:50,8877.48,JPY,deposit,ATM,Best Buy,Retail,Japan,Nagoya,False
af99db30-9277-4660-8c51-431da730ad31,0e3a47be-bb77-44e9-aa9c-984983841cba,2022-10-31 20:21:25,4222.54,GBP,transfer,ATM,Amazon,Clothing,United Kingdom,Birmingham,False
06e2183b-50f6-4128-bc2d-da4c97c62175,747a12d8-60db-4f2f-b643-e13157628403,2022-10-06 08:41:58,3816.07,JPY,deposit,in-branch,Target,Grocery,Japan,Tokyo,False
